Date,DJIA,S&P500,NASDAQ,10Yr Yield,30Yr Yield
2016-01-04,17148.94,2012.66,4903.09,2.245,2.99
2016-01-05,17158.66,2016.71,4891.43,2.248,3.011
2016-01-06,16906.51,1990.26,4835.76,2.177,2.94
2016-01-07,16514.1,1943.09,4689.43,2.153,2.926
2016-01-08,16346.45,1922.03,4643.63,2.13,2.92
2016-01-11,16398.57,1923.67,4637.99,2.158,2.956
2016-01-12,16516.22,1938.68,4685.92,2.102,2.882
2016-01-13,16151.41,1890.28,4526.06,2.066,2.848
2016-01-14,16379.05,1921.84,4615.0,2.098,2.892
2016-01-15,15988.08,1880.33,4488.42,2.033,2.813
2016-01-19,16016.02,1881.33,4476.95,2.035,2.804
2016-01-20,15766.74,1859.33,4471.69,1.984,2.757
2016-01-21,15882.68,1868.99,4472.06,2.019,2.797
2016-01-22,16093.51,1906.9,4591.18,2.048,2.82
2016-01-25,15885.22,1877.08,4518.49,2.022,2.802
2016-01-26,16167.23,1903.63,4567.67,1.994,2.781
2016-01-27,15944.46,1882.95,4468.17,2.001,2.79
2016-01-28,16069.64,1893.36,4506.68,1.985,2.791
2016-01-29,16466.3,1940.24,4613.95,1.931,2.758
2016-02-01,16449.18,1939.38,4620.37,1.966,2.781
2016-02-02,16153.54,1903.03,4516.95,1.864,2.679
2016-02-03,16336.66,1912.53,4504.24,1.881,2.705
2016-02-04,16416.58,1915.45,4509.56,1.864,2.7
2016-02-05,16204.97,1880.05,4363.14,1.848,2.682
2016-02-08,16027.05,1853.44,4283.75,1.735,2.56
2016-02-09,16014.38,1852.21,4268.76,1.729,2.555
2016-02-10,15914.74,1851.86,4283.59,1.705,2.529
2016-02-11,15660.18,1829.08,4266.84,1.644,2.504
2016-02-12,15973.84,1864.78,4337.51,1.748,2.605
2016-02-16,16196.41,1895.58,4435.96,1.778,2.642
2016-02-17,16453.83,1926.82,4534.06,1.819,2.686
2016-02-18,16413.43,1917.83,4487.54,1.759,2.632
2016-02-19,16391.99,1917.78,4504.43,1.748,2.605
2016-02-22,16620.66,1945.5,4570.61,1.766,2.619
2016-02-23,16431.78,1921.27,4503.58,1.745,2.597
2016-02-24,16484.99,1929.8,4542.61,1.742,2.597
2016-02-25,16697.29,1951.7,4582.2,1.697,2.574
2016-02-26,16639.97,1948.05,4590.47,1.762,2.636
2016-02-29,16516.5,1932.23,4557.95,1.74,2.615
2016-03-01,16865.08,1978.35,4689.6,1.834,2.703
2016-03-02,16899.32,1986.45,4703.42,1.848,2.692
2016-03-03,16943.9,1993.4,4707.42,1.83,2.66
2016-03-04,17006.77,1999.99,4717.02,1.883,2.703
2016-03-07,17073.95,2001.76,4708.25,1.902,2.702
2016-03-08,16964.1,1979.26,4648.82,1.832,2.636
2016-03-09,17000.36,1989.26,4674.38,1.892,2.683
2016-03-10,16995.13,1989.57,4662.16,1.929,2.699
2016-03-11,17213.31,2022.19,4748.47,1.977,2.748
2016-03-14,17229.13,2019.64,4750.28,1.963,2.731
2016-03-15,17251.53,2015.93,4728.67,1.959,2.722
2016-03-16,17325.76,2027.22,4763.97,1.938,2.736
2016-03-17,17481.49,2040.59,4774.99,1.903,2.694
2016-03-18,17602.3,2049.58,4795.65,1.871,2.673
2016-03-21,17623.87,2051.6,4808.87,1.923,2.73
2016-03-22,17582.57,2049.8,4821.66,1.935,2.719
2016-03-23,17502.59,2036.71,4768.86,1.875,2.649
2016-03-24,17515.73,2035.94,4773.5,1.9,2.672
2016-03-28,17535.39,2037.05,4766.79,1.87,2.644
