Date,AAPL,FB,NVDA,PYPL,SHOP,SQ,TDOC,TSLA,TWTR,Z
2016-01-04,24.32,102.22,31.65,34.75,25.72,12.16,17.99,44.68,22.56,22.11
2016-01-05,23.71,102.73,32.16,34.31,25.31,11.51,19.5,44.69,21.92,21.99
2016-01-06,23.25,102.97,30.83,33.98,25.3,11.52,20.66,43.81,21.39,21.96
2016-01-07,22.27,97.92,29.61,33.13,24.67,11.16,20.18,43.13,20.26,21.5
2016-01-08,22.39,97.33,28.97,32.69,24.93,11.31,19.17,42.2,19.98,22.1
2016-01-11,22.75,97.51,29.02,33.04,23.87,11.84,19.0,41.57,19.65,22.16
2016-01-12,23.08,99.37,29.51,33.08,23.74,12.09,18.63,41.99,19.62,22.34
2016-01-13,22.49,95.44,28.61,32.12,21.38,11.61,16.91,40.06,18.68,21.45
2016-01-14,22.98,98.37,28.04,32.87,20.64,10.82,17.73,41.24,19.0,20.77
2016-01-15,22.43,94.97,26.51,32.31,19.89,10.27,17.02,41.0,17.94,20.83
2016-01-19,22.32,95.26,26.73,32.2,20.3,9.47,16.63,40.94,16.69,20.67
2016-01-20,22.35,94.35,26.87,31.2,20.53,9.49,15.74,39.74,17.38,19.53
2016-01-21,22.23,94.16,27.19,31.2,22.79,10.02,16.34,39.99,17.83,18.94
2016-01-22,23.42,97.94,27.82,31.69,23.07,9.85,17.44,40.51,17.84,20.18
2016-01-25,22.96,97.01,27.79,31.47,23.13,9.81,16.78,39.28,17.02,19.75
2016-01-26,23.09,97.34,28.07,31.97,23.09,9.54,16.7,38.71,17.01,20.12
2016-01-27,21.57,94.45,27.73,31.59,22.0,9.05,16.25,37.61,16.78,19.65
2016-01-28,21.72,109.11,27.43,34.24,22.5,8.74,15.52,37.94,16.49,19.5
2016-01-29,22.47,112.21,28.64,36.14,23.22,8.77,16.24,38.24,16.8,20.5
2016-02-01,22.26,115.09,28.65,37.08,23.53,8.76,15.99,39.39,17.91,19.25
2016-02-02,21.81,114.61,27.44,36.83,22.62,8.47,15.88,36.56,16.08,17.92
2016-02-03,22.25,112.69,27.58,37.01,23.0,8.43,15.85,34.7,16.56,17.65
2016-02-04,22.42,110.49,27.59,37.17,23.48,8.9,15.2,35.07,16.91,18.43
2016-02-05,21.83,104.07,25.85,35.07,21.87,8.63,14.13,32.52,15.72,16.92
2016-02-08,22.05,99.75,24.66,33.61,20.38,8.37,12.68,29.6,14.9,16.01
2016-02-09,22.05,99.54,24.93,32.7,19.85,8.62,11.86,29.65,14.4,16.2
2016-02-10,21.88,101.0,24.87,32.9,19.97,8.88,11.99,28.73,14.98,16.78
2016-02-11,21.75,101.91,24.74,33.52,19.37,8.62,11.89,30.09,14.31,17.97
2016-02-12,21.82,102.01,25.16,34.3,19.33,9.3,11.92,30.21,15.88,17.81
2016-02-16,22.43,101.61,26.39,35.46,20.5,9.93,12.36,31.03,16.36,18.83
2016-02-17,22.78,105.2,27.05,36.36,22.37,9.84,14.05,33.74,17.46,19.38
2016-02-18,22.35,103.47,29.38,36.31,20.59,9.98,14.52,33.35,18.43,19.55
2016-02-19,22.29,104.57,29.77,35.76,20.57,9.97,14.96,33.32,18.31,20.31
2016-02-22,22.49,107.16,30.82,36.0,21.21,10.38,15.12,35.55,18.3,20.0
2016-02-23,21.98,105.46,30.9,35.48,20.04,9.71,14.72,35.44,18.3,20.77
2016-02-24,22.31,106.88,31.12,36.47,21.02,9.89,14.91,35.8,18.0,20.2
2016-02-25,22.46,108.07,31.18,36.74,21.66,10.26,13.85,37.49,17.59,21.0
2016-02-26,22.5,107.92,30.98,37.49,22.0,10.32,14.57,38.07,17.94,21.01
2016-02-29,22.44,106.92,30.78,38.14,22.38,10.44,13.83,38.39,18.12,21.6
2016-03-01,23.34,109.82,32.14,39.25,22.69,10.72,13.76,37.27,17.85,21.46
2016-03-02,23.39,109.95,32.33,39.16,24.36,11.97,13.47,37.67,18.54,22.38
2016-03-03,23.56,109.58,32.04,39.02,24.27,12.25,12.75,39.15,19.31,23.37
2016-03-04,23.91,108.39,31.95,39.04,25.16,12.01,12.21,40.21,19.36,23.28
2016-03-07,23.65,105.73,31.74,38.98,25.87,12.26,12.5,41.06,19.17,23.55
2016-03-08,23.45,105.93,31.16,38.16,26.79,11.48,11.98,40.52,18.33,24.27
2016-03-09,23.47,107.51,31.14,38.57,26.07,12.03,12.36,41.74,17.66,22.44
2016-03-10,23.48,107.32,31.09,38.49,25.39,11.3,12.14,41.04,16.61,22.52
2016-03-11,23.74,109.41,31.62,39.49,26.7,11.1,12.28,41.5,16.81,23.08
2016-03-14,23.8,109.89,31.7,39.38,26.58,11.61,11.84,43.03,17.12,22.87
2016-03-15,24.28,110.67,31.54,39.27,25.83,11.95,11.47,43.67,16.19,21.81
2016-03-16,24.6,112.18,32.49,39.84,26.8,11.87,11.59,44.39,16.7,22.77
2016-03-17,24.56,111.02,32.21,39.93,27.15,11.95,10.65,45.28,16.85,22.2
2016-03-18,24.59,111.45,33.18,39.41,28.49,12.04,11.21,46.55,16.85,22.32
2016-03-21,24.59,111.85,33.28,41.14,28.04,13.4,11.23,47.66,16.89,22.76
2016-03-22,24.77,112.25,33.22,41.32,27.51,13.06,10.94,46.85,16.86,23.02
2016-03-23,24.64,112.54,33.79,40.52,26.2,12.59,10.34,44.52,16.01,22.36
2016-03-24,24.53,113.05,33.84,38.92,26.99,12.88,9.94,45.55,15.91,22.53
2016-03-28,24.42,113.69,34.18,38.74,27.59,13.4,9.5,46.05,15.6,22.41
2016-03-29,25.0,116.14,34.73,39.53,27.97,13.74,9.95,46.03,15.97,23.34
2016-03-30,25.43,114.7,35.1,39.04,27.77,15.02,9.9,45.38,16.36,23.05
2016-03-31,25.3,114.1,34.97,38.6,28.21,15.28,9.6,45.95,16.55,23.73
2016-04-01,25.53,116.06,35.48,39.4,28.45,14.22,10.04,47.52,15.98,23.45
2016-04-04,25.79,112.55,35.14,38.79,29.3,14.28,10.02,49.4,17.09,22.09
2016-04-05,25.49,112.22,35.09,38.55,28.75,14.26,10.13,51.09,17.05,21.08
2016-04-06,25.76,113.71,35.14,39.16,29.5,14.97,10.07,53.08,17.26,21.26
2016-04-07,25.2,113.64,34.77,38.28,29.21,14.81,10.3,51.44,16.98,20.73
2016-04-08,25.22,110.63,35.0,38.41,29.55,15.13,10.52,50.01,16.65,21.09
2016-04-11,25.31,108.99,35.21,38.06,29.52,15.36,10.07,49.98,16.51,19.94
2016-04-12,25.64,110.61,35.18,37.8,29.77,15.48,10.37,49.56,16.57,20.68
2016-04-13,26.01,110.51,36.06,38.79,29.8,15.01,11.22,50.91,17.37,21.63
2016-04-14,26.02,110.84,36.16,38.64,30.96,14.82,11.19,50.37,17.53,21.63
2016-04-15,25.5,109.64,36.44,38.58,30.97,14.33,11.24,50.9,17.58,21.85
2016-04-18,24.95,110.45,36.28,39.64,31.53,14.51,11.14,50.78,17.31,21.62
2016-04-19,24.82,112.29,35.64,39.24,32.05,14.09,11.4,49.47,16.92,22.28
2016-04-20,24.87,112.42,35.77,40.08,31.5,13.63,11.58,49.99,17.4,23.24
2016-04-21,24.6,113.44,35.73,40.1,31.53,13.24,12.03,49.66,17.51,23.33
2016-04-22,24.53,110.56,35.6,40.31,31.81,13.34,11.9,50.75,17.23,24.85
2016-04-25,24.39,110.1,35.77,39.82,31.13,13.59,12.0,50.36,17.09,24.86
2016-04-26,24.22,108.76,35.8,39.73,31.47,14.18,12.08,50.75,17.75,24.85
2016-04-27,22.71,108.89,36.62,40.01,31.83,14.69,12.05,50.29,14.86,24.74
2016-04-28,22.01,116.73,35.53,40.07,31.75,15.35,12.07,49.54,14.64,23.98
2016-04-29,21.76,117.58,34.87,39.18,31.85,14.89,12.15,48.15,14.62,24.04
2016-05-02,21.74,118.57,35.33,39.02,31.41,14.0,12.34,48.36,14.4,25.09
2016-05-03,22.09,117.43,34.91,38.36,30.74,13.45,11.63,46.46,14.01,25.06
2016-05-04,21.86,118.06,34.12,38.31,29.61,13.39,11.25,44.51,14.84,28.08
2016-05-05,21.78,117.81,34.32,38.95,28.52,13.05,10.76,42.31,14.12,26.72
2016-05-06,21.65,119.49,34.67,39.48,27.72,10.22,10.85,42.99,14.4,26.63
2016-05-09,21.67,119.24,34.63,39.62,26.46,9.85,11.82,41.78,14.2,26.49
2016-05-10,21.82,120.5,35.29,40.11,26.63,10.0,11.8,41.74,14.63,27.19
2016-05-11,21.61,119.52,35.39,39.71,26.27,9.68,11.64,41.79,14.59,27.24
2016-05-12,21.1,120.28,34.91,39.51,26.95,9.28,11.07,41.46,14.08,27.61
2016-05-13,21.14,119.81,40.22,39.48,26.29,9.36,10.05,41.52,14.1,27.65
2016-05-16,21.93,118.67,41.41,39.3,26.16,9.16,9.58,41.66,14.29,28.36
2016-05-17,21.83,117.35,41.5,39.06,26.8,9.18,10.25,40.93,14.34,28.0
2016-05-18,22.08,117.65,42.56,38.98,26.34,9.4,10.03,42.23,14.14,28.78
2016-05-19,22.0,116.81,42.74,37.65,25.97,9.6,9.72,43.04,14.15,27.33
2016-05-20,22.24,117.35,43.51,37.53,26.1,9.39,9.77,44.06,14.43,27.79
2016-05-23,22.52,115.97,43.58,38.07,26.82,9.46,9.99,43.24,14.41,27.76
2016-05-24,22.86,117.7,44.63,38.92,27.06,10.14,9.92,43.58,14.03,28.53
2016-05-25,23.27,117.89,44.45,38.76,28.2,10.0,10.28,43.92,14.41,28.62
2016-05-26,23.45,119.47,44.92,38.07,27.76,9.75,10.84,45.02,14.3,28.33
2016-05-27,23.44,119.38,45.17,38.09,28.57,9.63,11.31,44.61,15.1,28.6
2016-05-31,23.32,118.81,45.97,37.79,29.29,9.53,11.43,44.65,15.22,28.68
2016-06-01,22.99,118.78,46.06,38.31,31.07,9.6,11.62,43.91,15.02,28.34
2016-06-02,22.82,118.93,46.39,38.56,29.84,9.65,11.88,43.79,15.2,29.14
2016-06-03,22.87,118.47,45.74,38.33,29.58,9.46,11.82,43.8,15.2,29.33
2016-06-06,23.03,118.79,45.5,38.1,30.0,9.51,12.25,44.14,15.27,30.33
2016-06-07,23.13,117.76,45.59,37.57,29.86,9.57,12.54,46.47,15.0,32.07
2016-06-08,23.11,118.39,45.44,37.55,30.09,9.55,12.62,47.1,14.95,32.5
2016-06-09,23.27,118.56,46.62,37.13,29.41,9.34,12.66,45.87,14.6,32.28
2016-06-10,23.08,116.62,45.46,36.77,28.28,9.14,12.53,43.76,14.02,32.22
2016-06-13,22.73,113.95,46.04,36.54,27.99,8.92,12.5,43.57,14.55,32.4
2016-06-14,22.76,114.94,46.13,37.16,29.05,8.89,12.63,42.99,15.36,32.71
2016-06-15,22.69,114.6,46.6,36.84,28.66,9.06,13.04,43.54,15.96,32.78
2016-06-16,22.78,114.39,46.79,36.97,28.37,9.05,13.36,43.59,15.87,33.07
2016-06-17,22.26,113.02,45.97,36.97,28.94,9.04,12.86,43.09,16.1,34.05
2016-06-20,22.21,113.37,46.8,36.86,29.77,9.2,12.95,43.94,16.34,34.76
