,AAPL,FB,NVDA,PYPL,SHOP,SQ,TDOC,TSLA,TWTR,Z
,close,close,close,close,close,close,close,close,close,close
Date,,,,,,,,,,
2016-01-04,26.337499618530273,102.22000122070312,32.369998931884766,34.75,25.719999313354492,12.15999984741211,17.989999771118164,44.68199920654297,22.559999465942383,22.110000610351562
2016-01-05,25.677499771118164,102.7300033569336,32.88999938964844,34.310001373291016,25.309999465942383,11.510000228881836,19.5,44.68600082397461,21.920000076293945,21.989999771118164
2016-01-06,25.174999237060547,102.97000122070312,31.530000686645508,33.97999954223633,25.299999237060547,11.520000457763672,20.65999984741211,43.80799865722656,21.389999389648438,21.959999084472656
2016-01-07,24.112499237060547,97.91999816894531,30.280000686645508,33.130001068115234,24.670000076293945,11.15999984741211,20.18000030517578,43.130001068115234,20.260000228881836,21.5
2016-01-08,24.239999771118164,97.33000183105469,29.6299991607666,32.689998626708984,24.93000030517578,11.3100004196167,19.170000076293945,42.20000076293945,19.979999542236328,22.100000381469727
2016-01-11,24.63249969482422,97.51000213623047,29.68000030517578,33.040000915527344,23.8700008392334,11.84000015258789,19.0,41.56999969482422,19.649999618530273,22.15999984741211
2016-01-12,24.989999771118164,99.37000274658203,30.18000030517578,33.08000183105469,23.739999771118164,12.09000015258789,18.6299991607666,41.99399948120117,19.6200008392334,22.34000015258789
2016-01-13,24.34749984741211,95.44000244140625,29.260000228881836,32.119998931884766,21.3799991607666,11.609999656677246,16.90999984741211,40.0620002746582,18.68000030517578,21.450000762939453
2016-01-14,24.8799991607666,98.37000274658203,28.670000076293945,32.869998931884766,20.639999389648438,10.819999694824219,17.729999542236328,41.236000061035156,19.0,20.770000457763672
2016-01-15,24.282499313354492,94.97000122070312,27.110000610351562,32.310001373291016,19.889999389648438,10.270000457763672,17.020000457763672,40.99800109863281,17.940000534057617,20.829999923706055
